timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1677266201255,9,Get,200,OK,Thread Group 1-34,text,true,,984,167,2,2,https://reqres.in/api/users/4,9,0,0
1677266201266,9,GetListOfUser,200,OK,Thread Group 1-34,text,true,,1747,172,3,3,https://reqres.in/api/users?page=2,8,0,0
1677266201070,380,Register,200,OK,Thread Group 1-35,text,true,,693,253,2,2,https://reqres.in/api/register,380,0,24
1677266201451,9,Get,200,OK,Thread Group 1-35,text,true,,984,167,2,2,https://reqres.in/api/users/4,9,0,0
1677266201462,8,GetListOfUser,200,OK,Thread Group 1-35,text,true,,1747,172,3,3,https://reqres.in/api/users?page=2,8,0,0
1677266201269,388,Register,200,OK,Thread Group 1-36,text,true,,695,253,2,2,https://reqres.in/api/register,388,0,24
1677266201657,11,Get,200,OK,Thread Group 1-36,text,true,,990,167,2,2,https://reqres.in/api/users/4,11,0,0
1677266201670,11,GetListOfUser,200,OK,Thread Group 1-36,text,true,,1751,172,3,3,https://reqres.in/api/users?page=2,9,0,0
1677266201468,379,Register,200,OK,Thread Group 1-37,text,true,,695,253,2,2,https://reqres.in/api/register,379,0,18
1677266201847,13,Get,200,OK,Thread Group 1-37,text,true,,988,167,2,2,https://reqres.in/api/users/4,13,0,0
1677266201862,8,GetListOfUser,200,OK,Thread Group 1-37,text,true,,1751,172,3,3,https://reqres.in/api/users?page=2,8,0,0
1677266201669,377,Register,200,OK,Thread Group 1-38,text,true,,691,253,2,2,https://reqres.in/api/register,377,0,19
1677266202047,9,Get,200,OK,Thread Group 1-38,text,true,,990,167,2,2,https://reqres.in/api/users/4,9,0,0
1677266202058,9,GetListOfUser,200,OK,Thread Group 1-38,text,true,,1747,172,2,2,https://reqres.in/api/users?page=2,9,0,0
1677266201870,372,Register,200,OK,Thread Group 1-39,text,true,,697,253,2,2,https://reqres.in/api/register,372,0,15
1677266202243,8,Get,200,OK,Thread Group 1-39,text,true,,984,167,2,2,https://reqres.in/api/users/4,8,0,0
1677266202253,11,GetListOfUser,200,OK,Thread Group 1-39,text,true,,1747,172,2,2,https://reqres.in/api/users?page=2,11,0,0
1677266202068,385,Register,200,OK,Thread Group 1-40,text,true,,693,253,2,2,https://reqres.in/api/register,385,0,22
1677266202453,11,Get,200,OK,Thread Group 1-40,text,true,,996,167,2,2,https://reqres.in/api/users/4,11,0,0
1677266202465,13,GetListOfUser,200,OK,Thread Group 1-40,text,true,,1755,172,3,3,https://reqres.in/api/users?page=2,13,0,0
1677266202269,385,Register,200,OK,Thread Group 1-41,text,true,,693,253,2,2,https://reqres.in/api/register,385,0,22
1677266202654,10,Get,200,OK,Thread Group 1-41,text,true,,986,167,2,2,https://reqres.in/api/users/4,10,0,0
1677266202666,15,GetListOfUser,200,OK,Thread Group 1-41,text,true,,1755,172,3,3,https://reqres.in/api/users?page=2,15,0,0
1677266202469,382,Register,200,OK,Thread Group 1-42,text,true,,697,253,2,2,https://reqres.in/api/register,382,0,21
1677266202851,11,Get,200,OK,Thread Group 1-42,text,true,,990,167,2,2,https://reqres.in/api/users/4,11,0,0
1677266202864,12,GetListOfUser,200,OK,Thread Group 1-42,text,true,,1751,172,3,3,https://reqres.in/api/users?page=2,12,0,0
1677266202676,386,Register,200,OK,Thread Group 1-43,text,true,,695,253,2,2,https://reqres.in/api/register,386,0,22
1677266203063,9,Get,200,OK,Thread Group 1-43,text,true,,988,167,3,3,https://reqres.in/api/users/4,9,0,0
1677266203073,10,GetListOfUser,200,OK,Thread Group 1-43,text,true,,1751,172,3,3,https://reqres.in/api/users?page=2,10,0,0
1677266202871,382,Register,200,OK,Thread Group 1-44,text,true,,693,253,2,2,https://reqres.in/api/register,382,0,24
1677266203254,12,Get,200,OK,Thread Group 1-44,text,true,,990,167,2,2,https://reqres.in/api/users/4,12,0,0
1677266203268,9,GetListOfUser,200,OK,Thread Group 1-44,text,true,,1747,172,3,3,https://reqres.in/api/users?page=2,9,0,0
1677266203069,384,Register,200,OK,Thread Group 1-45,text,true,,691,253,2,2,https://reqres.in/api/register,384,0,23
1677266203453,12,Get,200,OK,Thread Group 1-45,text,true,,988,167,2,2,https://reqres.in/api/users/4,12,0,0
1677266203466,14,GetListOfUser,200,OK,Thread Group 1-45,text,true,,1751,172,3,3,https://reqres.in/api/users?page=2,13,0,0
1677266203270,390,Register,200,OK,Thread Group 1-46,text,true,,693,253,2,2,https://reqres.in/api/register,390,0,25
1677266203661,14,Get,200,OK,Thread Group 1-46,text,true,,990,167,2,2,https://reqres.in/api/users/4,14,0,0
1677266203677,10,GetListOfUser,200,OK,Thread Group 1-46,text,true,,1751,172,3,3,https://reqres.in/api/users?page=2,10,0,0
1677266203469,385,Register,200,OK,Thread Group 1-47,text,true,,691,253,2,2,https://reqres.in/api/register,385,0,20
1677266203854,9,Get,200,OK,Thread Group 1-47,text,true,,988,167,2,2,https://reqres.in/api/users/4,9,0,0
1677266203865,8,GetListOfUser,200,OK,Thread Group 1-47,text,true,,1751,172,3,3,https://reqres.in/api/users?page=2,8,0,0
1677266203681,390,Register,200,OK,Thread Group 1-48,text,true,,689,253,3,3,https://reqres.in/api/register,390,0,24
1677266204072,11,Get,200,OK,Thread Group 1-48,text,true,,990,167,3,3,https://reqres.in/api/users/4,11,0,0
1677266204085,11,GetListOfUser,200,OK,Thread Group 1-48,text,true,,1741,172,3,3,https://reqres.in/api/users?page=2,11,0,0
1677266203868,382,Register,200,OK,Thread Group 1-49,text,true,,693,253,2,2,https://reqres.in/api/register,382,0,23
1677266204251,9,Get,200,OK,Thread Group 1-49,text,true,,990,167,2,2,https://reqres.in/api/users/4,9,0,0
1677266204262,13,GetListOfUser,200,OK,Thread Group 1-49,text,true,,1755,172,2,2,https://reqres.in/api/users?page=2,12,0,0
1677266204068,390,Register,200,OK,Thread Group 1-50,text,true,,685,253,1,1,https://reqres.in/api/register,390,0,23
1677266204458,9,Get,200,OK,Thread Group 1-50,text,true,,990,167,1,1,https://reqres.in/api/users/4,9,0,0
1677266204469,16,GetListOfUser,200,OK,Thread Group 1-50,text,true,,1749,172,1,1,https://reqres.in/api/users?page=2,16,0,0
